/home/antoniolinux/Escritorio/P2Metaheuristics/jeu_100_75_2.txt_3_currentFirst	/home/antoniolinux/Escritorio/P2Metaheuristics/jeu_100_75_2.txt_3_bestFirst	/home/antoniolinux/Escritorio/P2Metaheuristics/jeu_100_75_2.txt_3_currentBest	/home/antoniolinux/Escritorio/P2Metaheuristics/jeu_100_75_2.txt_3_bestBest	
-98.3333	-98.3333	28599	28599	
-98.3333	-98.3333	28599	28599	
33336	33336	-85.3333	28599	
-98.3333	33336	28599	28599	
28599	33336	28599	28599	
-98.3333	33336	28599	28599	
28599	33336	28599	28599	
-98.3333	33336	28599	28599	
28599	33336	28599	28599	
-98.3333	33336	28599	28599	
28599	33336	28599	28599	
28599	33336	28599	28599	
jeu_100_25_4.txt_5_currentFirst	jeu_100_25_4.txt_5_bestFirst	jeu_100_25_4.txt_5_currentBest	jeu_100_25_4.txt_5_bestBest	
-170.44	-170.44	-163.44	-163.44	
-128.44	-128.44	-206.44	-163.44	
-128.44	-128.44	-206.44	-163.44	
-163.44	-128.44	-163.44	-163.44	
-163.44	-128.44	-163.44	-163.44	
-163.44	-128.44	-163.44	-163.44	
-163.44	-128.44	-163.44	-163.44	
-163.44	-128.44	-163.44	-163.44	
-163.44	-128.44	-163.44	-163.44	
-163.44	-128.44	-163.44	-163.44	
-163.44	-128.44	-163.44	-163.44	
-163.44	-128.44	-163.44	-163.44	
