jeu_100_25_4.txt_3_currentSA	jeu_100_25_4.txt_3_bestSA	jeu_100_25_4.txt_3_currentTS	jeu_100_25_4.txt_3_bestTS	jeu_100_25_4.txt_3_currentGrasp	jeu_100_25_4.txt_3_bestGrasp	jeu_100_25_4.txt_3_currentIG	jeu_100_25_4.txt_3_bestIG	
-74.7333	-74.7333	-69.7333	-69.7333	-223.733	-223.733	-122.733	-122.733	
-24.7333	-24.7333	-20.7333	-20.7333	92	92	92	92	
-24.7333	-24.7333	14871	14871	278	278	172	172	
-24.7333	-24.7333	15430	15430	358	358	269	269	
-29.7333	-24.7333	15927	15927	415	415	326	326	
-29.7333	-24.7333	16318	16318	464	464	424	424	
-29.7333	-24.7333	16578	16578	698	698	458	458	
-11.7333	-11.7333	16642	16642	732	732	541	541	
-38.7333	-11.7333	16986	16986	829	829	716	716	
-4.73333	-4.73333	16908	16986	961	961	865	865	
-21.7333	-4.73333	16935	16986	1126	1126	1067	1067	
-12.7333	-4.73333	16827	16986	1159	1159	1226	1226	
-12.7333	-4.73333	16698	16986	1355	1355	1574	1574	
-12.7333	-4.73333	17177	17177	1524	1524	1963	1963	
-12.7333	-4.73333	17472	17472	1672	1672	2246	2246	
-12.7333	-4.73333	17625	17625	1794	1794	2497	2497	
-12.7333	-4.73333	17468	17625	1914	1914	2596	2596	
-37.7333	-4.73333	18040	18040	2072	2072	3044	3044	
-37.7333	-4.73333	17876	18040	2247	2247	3306	3306	
-37.7333	-4.73333	17777	18040	2329	2329	3691	3691	
-37.7333	-4.73333	17649	18040	2576	2576	3858	3858	
-37.7333	-4.73333	17927	18040	2701	2701	4283	4283	
-37.7333	-4.73333	17742	18040	3225	3225	4870	4870	
-37.7333	-4.73333	18279	18279	3525	3525	5027	5027	
-37.7333	-4.73333	18766	18766	3977	3977	5352	5352	
-18.7333	-4.73333	18702	18766	4249	4249	5672	5672	
-18.7333	-4.73333	18516	18766	4477	4477	5970	5970	
-18.7333	-4.73333	19106	19106	4916	4916	6261	6261	
-37.7333	-4.73333	18917	19106	5135	5135	6782	6782	
-81.7333	-4.73333	19355	19355	5202	5202	7148	7148	
-81.7333	-4.73333	19258	19355	5682	5682	7633	7633	
-81.7333	-4.73333	19356	19356	6146	6146	8193	8193	
-90.7333	-4.73333	19204	19356	6191	6191	8299	8299	
-90.7333	-4.73333	19582	19582	6635	6635	8624	8624	
-88.7333	-4.73333	19836	19836	6918	6918	9220	9220	
-88.7333	-4.73333	19672	19836	7398	7398	9762	9762	
-60.7333	-4.73333	20021	20021	8180	8180	10215	10215	
-101.733	-4.73333	19821	20021	8875	8875	10877	10877	
-146.733	-4.73333	19608	20021	9406	9406	11343	11343	
-146.733	-4.73333	19826	20021	9857	9857	12190	12190	
-136.733	-4.73333	20285	20285	10304	10304	12633	12633	
-136.733	-4.73333	20051	20285	10551	10551	13291	13291	
-141.733	-4.73333	19797	20285	11122	11122	13972	13972	
-154.733	-4.73333	20174	20285	11614	11614	14497	14497	
-183.733	-4.73333	19912	20285	12312	12312	14982	14982	
-183.733	-4.73333	20291	20291	12723	12723	15925	15925	
-157.733	-4.73333	20587	20587	13356	13356	16014	16014	
-169.733	-4.73333	20336	20587	14281	14281	16174	16174	
-169.733	-4.73333	20233	20587	14929	14929	16315	16315	
-122.733	-4.73333	20089	20587	15412	15412	16486	16486	
-120.733	-4.73333	20529	20587	15596	15596	16613	16613	
-120.733	-4.73333	20701	20701	15774	15774	16826	16826	
-121.733	-4.73333	20894	20894	15929	15929	16962	16962	
-121.733	-4.73333	20660	20894	16134	16134	17173	17173	
-121.733	-4.73333	21167	21167	16275	16275	17350	17350	
-121.733	-4.73333	20938	21167	16465	16465	17521	17521	
-121.733	-4.73333	20909	21167	16643	16643	17831	17831	
-121.733	-4.73333	20707	21167	16845	16845	18120	18120	
